,Unnamed: 0,Title,link,description
10,10,Fatura,/claro/fatura_ENbQbwn1p7lgcxMl/,"Fiz um plano controle da claro no 10 de setembro,resolvi fazer o cancelamento no mês de outubro no dia 5 e agora no fim de semana fui olhar  a fatura do meu cartão de crédito e está cobrando 50 reais sendo que pedi o cancelamento antes da data de renovação do plano.Liguei ontem domingo e fui informada que não tinham feito o cancelamento e gostaria de saber se realmente vão cobrar um valor de internet que não estou nem usando mais."
11,11,O pior canal de telefonia e internet,/claro/o-pior-canal-de-telefonia-e-internet_i8RoVnO50vF_bIDm/,Já estou ligando tentando reclamar com eles sobre a furada e a pior internet que existe mas eles não me atendem estou tentando reclamar para resolver porque já não estou mais aguentando pagar uma internet e não ter. Literalmente não tenho.
12,12,To cansada de ser atendida por IA,/claro/to-cansada-de-ser-atendida-por-ia_oSSjPqtRpbG-B-k4/,"Olha,.. é preciso ter muuuiiiiita paciência com estas empresas que coloca IA para atender. Não consigo falar com um humano.. é de lascar viu!!! [Editado pelo Reclame Aqui] da Claro, não consigo fazer ligações pelo celular e não consigo falar com HUMANOOOOO!!!To revoltada mesmo!"
13,13,Humilhado,/claro/humilhado_fuBQ8zLig568fZR7/,"Tenho um chip pré pago, quero um plano controle. Ontem, domingo liguei para central claro e após 24 min falei com atendente. Solicitei plano controle, ela insistentemente me oferecia internet residencial, eu ouvia, agradecia mas negava. Ela novamente por 4 vezes oferecia nova proposta para claro TV e internet, eu pedi com muita, muita calma com MEDO dela derrubar a ligação, pedi POR FAVOR, POR AMOR A DEUS OU PENA DE MIM, me venda um plano controle. Após uma suspirada profunda dela ela novamente solicitou todos os meus dados. Respondi e concordei com tudo, tudo. Ao final ela diz : o sr. vai ouvir dois minutos de uma gravação sobre o contrato e logo após pode desligar. Aceitei e.. CAIU a ligação. Dois minutos após toca meu telefone, é da central de vendas da claro, digo que tinha acabado de fechar um pacote controle, ela pede todos os meus dados de novo e diz, não há nada aqui em seu nome, a troca de plano não foi feita.SÒ quero um plano controle."
14,14,claro residencia,/claro/claro-residencia_ZRL3oWXjF0Rj5MrJ/,"Bom dia conforme falei com o senhor guilherme por ligação segue o protocolo*******8, para enviar os comprovantes que paguei a fatura em duplicidade para abater o valor do mês de agosto.  obs: Fui na claro em inicio de setembro e fui enformada pela senhorita flavia que tinha pago a fatura de julho em duplicidade conforme o protocolo*******5227 a funcionaria Flavia me falou que iria fazer o abatimento dos valores que era para esperar um mês  que não era para me preocupar logo depois de  2 dias começaram as ligações em até meu ambiente de trabalho que é constrangedor, e mesmo assim esperei um mês e voltei com a senhorita Flavia, logo após fui novamente em loja física e ela me disse que não conseguiu fazer isso e me falou que a claro em 5 dias ia me devolver um valor de  69,43, e então dei minha conta e agencia mas ainda não recebi nenhum valor, hoje na data 09/10/2023 falei com o seu guilherme que me informou que era necessário enviar por e-mail os comprovantes para fazer o abatimento nas faturar onde era mais fácil, então estou fazendo conforme solicitado enviei os 2 comprovantes e a fatura para o email ******* para resolver e fazer o abatimento dos valores."
15,15,Sem sinal de internet e TV,/claro/sem-sinal-de-internet-e-tv_buZGy5lTmOqPE6Sf/,"Desde o temporal que caiu em Niterói, RJ, onde resido, na quinta feira (05/10), estou sem sinal da internet e TV.Tentei entrar em contato com a empresa mas pelo app não identificam qualquer problema (!) e nada consigo por whatsapp.São dois blocos prejudicados no condomínio onde moro.No sábado, meus vizinhos que conseguiram contato postaram no nosso grupo horários diversos prometendo o retorno do sinal e nada!A última promessa foi ao meio dia de domingo e.. nada! Continuamos sem sinal!Já são quatro dias sem o serviço! Preciso de uma solução!"
16,16,Internet cai todos os dias,/claro/internet-cai-todos-os-dias_E4NvBkEUnT549msj/,"Internet residencial claro Net cai todos os dias, principalmente no fim de semana, estando chovendo ou não. Já faz uns 3 meses que está péssima e você entra no aplicativo e fala que sinal está normal. Obs.: sou cliente há anos da claro e sou técnico em redes de computadores, o problema não está na utilização do equipamento ou de conexão do computador pois nem o celular está pegando sinal, se houver algum defeito é no próprio modem da claro, pois não utilizo nenhum roteador a parte."
17,17,"Claro quer que assinemos plano, sem nossa intenção.",/claro/claro-quer-que-assinemos-plano-sem-nossa-intencao_P6_07kwPIFICy0qZ/,"Sabe aquelas mensagens do chip, onde aparece na sua tela no meio de qualquer outro aplicativo que estiver na sua tela, agora a Claro deu de mandar mensagens assim para contratar planos e pacotes, que se ao menor cuidado você não prestar atenção, acaba contratando algo sem saber, outro dia quase contratei, pois pelo meu sensor biométrico ser na tela, ao desbloquear a mensagem quase foi clicada, acho um abuso, até porque meu celular não foi comprado com vínculo com operadora."
18,18,A Claro NET está me impedindo de encerrar o meu contrato de internet,/claro/a-claro-net-esta-me-impedindo-de-encerrar-o-meu-contrato-de-internet_pMOu7qBjhxpRXxpu/,"No dia 02.10.23 liguei para a Claro NET para cancelar meu serviço de internet, pois estava de mudança de Recife para Natal.Após efetuar o cancelamento, informei que iria entregar o moldem diretamente na loja da claro, pois não poderia aguardar a chegada dos técnicos, já que estava de mudança. No mesmo dia, cancelaram o meu sinal e fui até a agência da Claro no Shopping Boa Vista e efetuei a devolução do moldem.No meu aplicativo já constava a informação de que meu contrato havia sido encerrado e eu acreditava que estava tudo bem. Ocorre que no dia 06.10.23 recebi uma mensagem dizendo que minha visita técnica estava agendada para o dia 14.10.23, no meu antigo endereço de Recife. Achei estranho e cliquei na opção Cancelar visita técnica. Após esse procedimento, meu aplicativo mudou como se eu tivesse novamente com meu contrato ativado. Liguei imediatamente para a Claro e fui informada que eu havia cancelado o meu cancelamento. Eu informei que não tinha esse interesse e queria reverter a situação. Eles, simplesmente, disseram que não era possível. Eu afirmei que estou efetivamente sem sinal e sem moldem desde o dia 02.10.23 e que eles não podem me cobrar por um serviço que já foi cortado desde essa data. Mas eles insistiram que eu deveria realizar um novo cancelamento, com cobrança proporcional ao dia 06.10.23. Eu disse que mantinha meu interesse no cancelamento, mas que deveria ser com a data que eu, efetivamente, havia cancelado (02.10.23). Disseram que iriam passar a minha solicitação para um setor superior e que eu receberia uma ligação pelo meu celular. Fato que não ocorreu até hoje. Vejo que a Claro está obstaculizando um direito meu que é o de cancelar a minha linha de internet. Não irei admitir cobranças [Editado pelo Reclame Aqui]."
19,19,FATURA ABUSIVA,/claro/fatura-abusiva_eKqmCd5rhat7ehX9/,"Adquiri linhas pra minha empresa em abril.2023, desde então diversos problemas, os principais sinal/ conexão e fatura, em julho parecia ter resolvido tudo, ficando o valor mensal de R$ 1.964,00, referente aos produtos adquiridos, até hoje não consegui recebê0la correta. E este mês veio no total de R$ 14.927,00, abusiva é pouco."
20,20,"Claro quer que assinemos plano, sem nossa intenção.",/claro/claro-quer-que-assinemos-plano-sem-nossa-intencao_P6_07kwPIFICy0qZ/,"Sabe aquelas mensagens do chip, onde aparece na sua tela no meio de qualquer outro aplicativo que estiver na sua tela, agora a Claro deu de mandar mensagens assim para contratar planos e pacotes, que se ao menor cuidado você não prestar atenção, acaba contratando algo sem saber, outro dia quase contratei, pois pelo meu sensor biométrico ser na tela, ao desbloquear a mensagem quase foi clicada, acho um abuso, até porque meu celular não foi comprado com vínculo com operadora."
21,21,A Claro NET está me impedindo de encerrar o meu contrato de internet,/claro/a-claro-net-esta-me-impedindo-de-encerrar-o-meu-contrato-de-internet_pMOu7qBjhxpRXxpu/,"No dia 02.10.23 liguei para a Claro NET para cancelar meu serviço de internet, pois estava de mudança de Recife para Natal.Após efetuar o cancelamento, informei que iria entregar o moldem diretamente na loja da claro, pois não poderia aguardar a chegada dos técnicos, já que estava de mudança. No mesmo dia, cancelaram o meu sinal e fui até a agência da Claro no Shopping Boa Vista e efetuei a devolução do moldem.No meu aplicativo já constava a informação de que meu contrato havia sido encerrado e eu acreditava que estava tudo bem. Ocorre que no dia 06.10.23 recebi uma mensagem dizendo que minha visita técnica estava agendada para o dia 14.10.23, no meu antigo endereço de Recife. Achei estranho e cliquei na opção Cancelar visita técnica. Após esse procedimento, meu aplicativo mudou como se eu tivesse novamente com meu contrato ativado. Liguei imediatamente para a Claro e fui informada que eu havia cancelado o meu cancelamento. Eu informei que não tinha esse interesse e queria reverter a situação. Eles, simplesmente, disseram que não era possível. Eu afirmei que estou efetivamente sem sinal e sem moldem desde o dia 02.10.23 e que eles não podem me cobrar por um serviço que já foi cortado desde essa data. Mas eles insistiram que eu deveria realizar um novo cancelamento, com cobrança proporcional ao dia 06.10.23. Eu disse que mantinha meu interesse no cancelamento, mas que deveria ser com a data que eu, efetivamente, havia cancelado (02.10.23). Disseram que iriam passar a minha solicitação para um setor superior e que eu receberia uma ligação pelo meu celular. Fato que não ocorreu até hoje. Vejo que a Claro está obstaculizando um direito meu que é o de cancelar a minha linha de internet. Não irei admitir cobranças [Editado pelo Reclame Aqui]."
22,22,FATURA ABUSIVA,/claro/fatura-abusiva_eKqmCd5rhat7ehX9/,"Adquiri linhas pra minha empresa em abril.2023, desde então diversos problemas, os principais sinal/ conexão e fatura, em julho parecia ter resolvido tudo, ficando o valor mensal de R$ 1.964,00, referente aos produtos adquiridos, até hoje não consegui recebê0la correta. E este mês veio no total de R$ 14.927,00, abusiva é pouco."
23,23,"Lesado, enganado pelo atendente",/claro/enganado-pelo-atendente_p2EdLW2YBGbhXc2Y/,"Por volta de agosto no começo do mês ligue na operadora para pode fazer o cancelamento do plano, que está no valor de mais de 60 reais, então solicitando o cancelamento o atendente sugeriu uma nova proposta de plano no qual eu ia paga 40 reais, por esse valor abaixo aceitei, perguntei para ele se na próxima fatura já ia vim o novo valor da fatura ele disse que ia vim proporcional o primeiro mês no segundo o valor já ia está o normal combinado, acontece que chego a primeira, a segunda fatura agora ta vindo a terceira fatura e o valor ta o mesmo mais de 60 reais um valor que eu disse fracamente pro atendente que não queria paga mais esse preço no plano, resumindo passou uma [Editado pelo Reclame Aqui] informação acabei saindo [Editado pelo Reclame Aqui] e já não é a primeira vez que ligo na Claro pra muda o plano e falam que vai muda e não mudam tenho que ta indo atrás dos meus direitos!"
24,24,Muitas ligações diariamente,/claro/muitas-ligacoes-diariamente_n5pKbYswa3MI84er/,"Meu telefone não para de tocar com inúmeras ligações da claro. Não aguento mais isso. Todos os dias, toda hora. Não consigo nem bloquear esses números:*******;*******;*******.Parem de ligar. Não tenho nada com a claro e não quero ter."
25,25,Cobrança indevida.,/claro/cobranca-indevida_PAcxrl-8EZ9JXCBU/,"Recebi uma cobrança [Editado pelo Reclame Aqui] da Claro cobrando um serviço indevido (netflix), não contratamos essa serviço, liguei na claro duas vezes e se negam a corrigir a fatura. Protocolos :*******8755,*******0714."
26,26,CRÉDITOS NÃO ENTRARAM NO SALDO DO CELULAR,/claro/creditos-nao-entraram-no-saldo-do-celular_aMnDDTItJ8A5MybS/,"coloquei 25 reais de crédito no celular da minha mãe para a renovação do PREZÃO no dia 07/10 as 07:34 da manhã, chegou um SMS confirmando que coloquei os créditos, porém esses créditos não constam no aplicativo, ta mostrando 0,01 centavo de saldo. liguei reclamando umas 4 vezes e nada foi resolvido, tenho comprovante de pagamento via pix."
27,27,Cobrança Indevida e Recorrente,/claro/cobranca-indevida-e-recorrente_io5a9SkVp2oOaqIm/,"Desde a fatura do mês de maio/2023,  vencida em junho a Claro vem lançando reiteradamente valores de serviços não solicitados e não prestados nas minhas faturas. Assim que recebo as faturas com valores indevidos tenho que reclamar por telefone, chegando a gastar até 40 minutos de ligação para que o atendente estorne os valores indevidos. Como se não bastasse a Claro não me envia as faturas com o valor correto, tendo eu que recorrer à ouvidoria para ter acesso ao referido documento. Essa cobrança [Editado pelo Reclame Aqui], assim como o consequente transtorno ocorreu com as faturas vencidas em junho/2023 (protocolo*******7996), julho/2023 (protocolo não anotado), setembro/2023 (protocolo*******383) e também outubro/2023 (cuja reclamação ainda não foi feita). Quero saber o que devo fazer para que a Claro pare com essa molecagem e passe a tratar seus clientes com respeito."
28,28,SEM INTERNET,/claro/sem-internet_7eU3RGcmaFrrbz1T/,"Bom dia prezados, Venho através deste canal informar que desde 05.10.2023 às 11:00 am. Estou sem sinal de rede WI-FI em casa. Pois bem, eu trabalho 100% home office e estou sendo duramente penalizado pela falta de sinal, como não comparecer as reuniões onlines, as minhas aulas de inglês com os meus alunos que foram seriamente afetada pela falta de serviço de vocês. Não tenho nenhuma pendência financeira pois não foi gerada a primeira conta. Ao ligar no canal 10621 os atendentes agendaram o técnico, mas eles  fecham o chamado dizendo que não há ninguém em casa. Mas eu estivem em casa o tempo todo, além de ter portaria no prédio 24h. Hoje 09.10.23 o atendente informou que precisa reagendar a vista técnica dás 14h às 17h. E o qual estava agendado para o sábado dia 07.10.23  simplesmente não compareceu. UM ABSURDO!!!Sou cliente de vocês  desde muito tempo e espero que isso e resolva o quanto antes. Vocês não tem noção o tento que estou perdendo com esssa falta de serviço."
29,29,Sem acesso ao meu número de celular desde 20/07 após portabilidade,/claro/sem-acesso-ao-meu-numero-de-celular-desde-20-07-apos-portabilidade_0sih7G_7zlYWnWmH/,"Após cair no conto de fadas ofertado pela claro.. estou desde 20/07 sem acesso ao meu número de celular . Várias tentativas de contato e protocolos encerrados com a operadora ..continuo sem tem meu chip com meu número.. já me fizeram comprar chip virgem . já fui a loja da claro e nada de resolver meu problema, um total descaso , em casa ligação uma história diferente, atendentes com informações totalmente diferentes.. enfim não posso nem voltar para minha operadora antiga pois para isso preciso ter acesso ao meu número de telefone ( que aliás já era meu a muitos anos, todos contatos foram perdidos Não recomendo pelo descaso , despreparado e propaganda enganosa.. seu chip será entregue na sua residência em 48 hrs.. enganação .E pra variar ainda me cobram na fatura um serviço ao qual não tenho acesso"
30,30,Restituição da linha URGENTE,/claro/restituicao-da-linha-urgente_4lgJ2VW3iA3gE5BU/,"Protocolo:*******7 - 02/09/2023*******58 - 02/09/2023*******8 - 08/10/2023No dia 21/09/2023 fiz uma reclamação conforme os 2 primeiros protocolos que a conta foi paga e foi cortado: ""motivo FALTA DE PAGAMENTOEu havia pago as contas e a Claro dia que não estavam pagas. Depois de vários telefonemas para a Claro a linha foi religadaNo dia 21de setembro a linha foi cortada novamente, fiz uma reclamação aqui passadas umas horas a linha foi restituídaNo dia 04 de outubro a linha foi cortada NOVAMENTE!!!!! Parece BRINCADEIRA!!!!Somos trabalhadores pagamos nossas contas em dia meu filho NECESSITA do cel para trabalhar!!!!!!!Quem vai me ressarcir pelos dias que meu filho está parado?????Fui até a Claro no dia 08/10/203 no Shopping Campo Limpo, atendida pela funcionária PriscilaFomos orientados por ela a pagar NOVAMENTE a conta, somos trabalhadores e não temos dinheiro para gastar em uma conta que já havia sido paga mas se a orientação para a linha VOLTAR era pagar fizemos um sacrifício e pagamosA Priscila disse que se pagássemos no PIX a linha voltaria imediatamente!!!!!NÃO VOLTOU!!!!! FUNCIONÁRIOS INCOMPETENTES!!!!!A explicação que ela deu foi: A Claro tem 3 empresas de cobrança em 2 foi dado baixa e em uma NÃOÉ PALHAÇADA!!!!!!Não pessoas IDONEAS EXIGIMOS A RESTITUIÇÃO IMEDIATA  DO VALOR PAGO A MAIS E A RESTRIUIÇÃO DA LINHAA gerente Priscila garantiu que se pagássemos por PIX voltaria imediatamente.Segunda ela o SISTEMA da Claro NÃO reconhece o pagamentoEXIJO UM RETRATAMENO DA CLARO IMWEDIATEMANET"
31,31,Celular não funciona,/claro/celular-nao-funciona_UyoEL_yk1AWlCpXq/,"Novamente retorno pra reclamar da Claro.Primeiro me ganharam no cansaço e eu parei de reclamar sobre o valor das minhas faturas.Agora estou a meses sem que o celular do combo funcione, as faturas estão pagas e na descrição delas tem o celular e não funciona.Ligo na central de celular, pede pra lugar no 0800 do combo multi, combo multi me mandou retornar a ligação pro mesmo 0800 e digitar a opção 4 , desliguei e liguei igual uma trouxa e a opção 4 nem existe. Liguei novamente pra falar com o atendente que me pediu pra tentar no 1052. O 1052 por sua vez também não me atende pois só resolvem questão de contrato de móvel, não falam sobre contratos de combi. Ou seja não tem um atendimento pra me dizer pq estou pagando uma fatura e não tenho o serviço.  Não tem uma mês que não tenha um estresse com os serviços prestados pela Claro. Pelo amor de Deus, trabalhar certo também é bom."
32,32,COBRANÇA INDEVIDA - FALTA DE RESPEITO - EQUIPE MAL INFORMADA,/claro/cobranca-indevida-falta-de-respeito-equipe-mal-informada_0d05xjJnEyIqEHav/,"Eu tinha u contrato com a claro, o qual era o combo multi, internet, móvel e claro box, após um período as contas começaram a vir mais do que o valor combinado que era de 156,00, fiz a contestação das ultimas faturas dos meses de agosto  e setembro/2023 e claro mandou os valores corretos, os quais eu paguei em dia, porém a claro desativou minha linha móvel final 9489, não tenho internet, mais  nada nessa linha e esta me cobrando esses dois ultimos meses, o qual não utilizei e ja estao pagas por ser do combo multi o qual eu tbm ja cancelei. Recebo diariamente de 05 e 7 ligações de cobrança da claro, e tenho q explicar minha situação para varios atendentes q dizem q esta no sistema, porem as ligações continuam todos os dias. Eu quero q claro baixe essa cobrança [Editado pelo Reclame Aqui] e fique com essa [Editado pelo Reclame Aqui] dessa linha, ja que estou sem ha mais de 03 meses."
33,33,Carreguei e não posso usar,/claro/carreguei-e-nao-posso-usar_VD1yhGGAf_lHHiPK/,"Fiz uma recarga no valor de 25,00 no meu chip da claro, por motivos pessoais acabei atrasando a fatura e acabou bloqueando a linha, inocentemente realizei a recarga achando que ia liberar e não foi. E fui informada que só posso usar essa carrega para receber ligação a cobrar e mais nada. Desejo que estorne essa recarga ou abate na fatura. Pq oq vou fazer com 25,00 para chamada  a cobrar se eu não uso???? Eu recarreguei para usar a Internet."
34,34,"Péssimo atendimento, Desrespeito e Burocracia para cancelar uma compra de celular.",/claro/pessimo-atendimento-desrespeito-e-burocracia-para-cancelar-uma-compra-de-c_gsUaTIoI9Fo3qgCB/,"A covardia dessa empresa desrespeitosa não tem limites, a Claro consegue causar dor, humilhação e ofender ao mesmo momento que [Editado pelo Reclame Aqui] nosso bem inestimável e precioso que é nosso tempo com seu atendimento péssimo.Eu tentando exercer meu direito legal de cancelar uma compra, e fui transferido três vezes e isso somando mais de 30 minutos na ligação, uma humilhação. Para comprar não foi assim.Exijo imediatamente de forma amigável o cancelamento da péssima compra que fiz pedido*******."
35,35,Negativada no Serasa sendo que a fatura não venceu,/claro/negativada-no-serasa-sendo-que-a-fatura-nao-venceu__BCk861bmESfSOX3/,"Fui imprimir um boleto de acordo de outra empresa pelo Serasa consumidor e para minha surpresa de cara lá consta uma dívida para negociar sendo que a minha fatura claro/Net residencial só vence dia 10, ou seja, amanhã já que hoje é dia 9. Vão alegar que junto consta uma fatura de telefone de agosto, sendo que essa fatura de telefone eles mesmos que desmembraram sem ordem e desde abril eu pedia para eles corrigirem a data já que sempre foi telefone e internet em uma única fatura desde 2017. Todo mês pediam desculpas e não corrigiram a data até que uns dois meses atrás cansei e cancelei o telefone fixo já que em todos esses anos eu nunca tinha nem instalado e nem sabia o número. Enfim, o erro foi deles. Todo mês ligo lá e nada. Ao invés de incluírem esse telefone de agosto na fatura de outubro ara facilitar de pagar simplesmente negativam m u nome em uma fatura que vence amanhã. Fazem bobagem e fica por isso mesmo. Basta verem as dezenas de protocolos desde abril pedindo para resolverem o erro da data de pagamento desmembrada sendo que nem a fatura de telefone eu recebia."
36,36,Telemarketing em excesso,/claro/telemarketing-em-excesso_ry3nfPIcZkozznDj/,"Ligações oferecendo produtos da claro, pata outra pessoa que não é mais titular da linha. Sao mais de 30 Ligações por dia. Uso o telefone para trabalhar e a Ligações atrapalham muito.Já solicitei pra tirar o número do cadastro, mas sou ignorado. A Claro não se preocupa nenhum pouco com ninguém"
37,37,Cobrança Indevida de Produto que não tenho (Claro TV BOX),/claro/cobranca-indevida-de-produto-que-nao-tenho-claro-tv-box_pQqRnvgHW6IDhRMW/,"Já faz mais de um ano que tenho este problema com a Claro.Todo mês é a mesma coisa, eles incluem no meu plano, por conta própria sem consentimento do cliente o Produto CLARO TV BOX. Ai a fatura vem com esse valor adicional e tenho que ficar ligando lá pra contestar e pedir cancelamento do Produto. Eles falam que cancelam, mas no mês seguinte o produto volta a aparecer. Este é um produto que não tenho e nunca tive interesse e nunca usei.Ao invés de resolver o meu problema em definitivo, eles ficam lançando desconto na fatura. Ai fica constando na fatura que tenho o produto CLARO TV BOX, por um valor de 59,90, porém eles lançam um desconto e fica com valor zerado, é SIMPLESMENTE RIDÍCULO ISSO!!!Já tenho tantos chamados abertos com a Claro, inclusive com a Ouvidoria/Auditoria deles, e o problema nunca é resolvido. Infelizmente dependo dos serviços dessa empresa, pois tecnicamente o produto de internet deles é bom, e eu uso para trabalhar, porém já estou cogitando um cancelamento total da minha conta."
38,38,Visita técnica agendada e não realizada,/claro/visita-tecnica-agendada-e-nao-realizada_HSg062NUQelpuq2k/,"2 meses atrás liguei para cancelar minha assinatura com a empresa na qual sou cliente há muitos anos. O cancelamento seria devido ao valor alto para um servico que caiu a qualidade. Me foi oferecido um desconto no meu plano mensal e uma visita técnica. O desconto não foi concedido e a visita não foi efetuada. Entrei em contato com a empresa novamente que se comunicou a falha e prometeu o desconto para o próximo mês e agendou a visita para 07/10 , fiquei esperando o técnico o dia inteiro, recebi a confirmação que ele estava a caminho e simplesmente ninguém apareceu. Ninguém entrou em contato e sigo com um serviço de péssima qualidade,atendimento.. Uma verdadeira falta de respeito com o cliente."
39,39,Internet ruim,/claro/internet-ruim_LcPclB83n81AEYH4/,"Olá boa noite,venho por meio dessa reclamação manifestar minha insatisfação com a operadora claro pago 73 reias por 15 gigas de Internet e simplesmente chaga um momento que não consigo abrir nenhum app no meu celular já faz tempo que tenho essa linha e agora tá mim  dando problema. Quero que arrumem minha Internet."
