title,link,problem,description
Conta errada mais de 6 meses,/claro/conta-errada-mais-de-6-meses_2ZZnGtIPY36-jIFG/,Cobrança indevida,
Fraude,/claro/titulo_YhuBs57nt1mGCwta/,Cobrança indevida,
Negociar dividas,/claro/negociar-dividas_-gNtwQ5DalXDAvTi/,Cobrança indevida,
Cobrança após solicitação de cancelamento,/claro/cobranca-apos-solicitacao-de-cancelamento_F_rdLnuQOIMJLfUK/,Cobrança indevida,
Serasa,/claro/serasa_QM7WTKyP3LMbQs0w/,Cobrança indevida,
Absurdo,/claro/absurdo_zKkVyrGtdwt3sJ_J/,Cobrança indevida,
PROPAGANDA ENGANOSA,/claro/propaganda-enganosa_Cyejb-Rm_pa-_jUN/,Cobrança indevida,
Recebi um WhatsApp oferecendo descontos para pagar,/claro/recebi-um-whatsapp-oferecendo-descontos-para-pagar_vuZ4q8hBI4-Fj7Fv/,Cobrança indevida,
Cobrança indevida,/claro/cobranca-indevida_N2DoE3Dl8PU5VBiF/,Cobrança indevida,
Cobrança indevida,/claro/cobranca-indevida_Cyew4qyHBadtxFiA/,Cobrança indevida,
Não cumpre o que promete,/claro/nao-cumpre-o-que-promete_wQLSu96q2SE3eJn1/,Cobrança indevida,
Cobrança indevida,/claro/cobranca-indevida_81YssLH9WkbjvViu/,Cobrança indevida,
"Toda vez que compro credito para meu celular pre-pago, vem com R$ 10,00 à menos.",/claro/toda-vez-que-compro-credito-para-meu-celular-pre-pago-vem-com-r-10-00-a-m__Q41u6kTAXdpx2yQ/,Cobrança indevida,
25 e 10 segundos de recarga,/claro/25-e-10-segundos-de-recarga_D7x9eoi-JL2f_-hL/,Cobrança indevida,
Cobrançãs [Editado pelo Reclame Aqui],/claro/cobrancas_jmWsrugAjLkTAV3d/,Cobrança indevida,
COBRANÇA INDEVIDA,/claro/cobranca-indevida_NTzlVpvetpcNAbwX/,Cobrança indevida,
Valor de fatura acima do contratado,/claro/valor-de-fatura-acima-do-contratado_wUXV88PxXgPRKlvT/,Cobrança indevida,
Alteração de valor,/claro/alteracao-de-valor_0pNwplZGtVG_qwLi/,Cobrança indevida,
Cobrança indevida no cartão de credito,/claro/cobranca-indevida-no-cartao-de-credito_t_-yZFaZRUnjhJQY/,Cobrança indevida,
Valor errado todo mês,/claro/valor-errado-todo-mes_LDaQEZLZrKdBolhW/,Cobrança indevida,
Aumento abusivo e 5g cai demais.,/claro/aumento-abusivo-e-5g-cai-demais_r2IxcWb_z5VQoa2M/,Cobrança indevida,
Insistência em cobranças [Editado pelo Reclame Aqui] pela CLARO,/claro/insistencia-em-cobrancas-pela-claro_W6Ak2MHJPF2I4nLQ/,Cobrança indevida,
"Problemas e mais problemas (perda de linha em pedido de portabilidade, cobrança indevida, falta de atendimento..)",/claro/problemas-e-mais-problemas-perda-de-linha-em-pedido-de-portabilidade-cobr_fatKarlpZRwgV6aW/,Cobrança indevida,
Conta com valores que não são justificados,/claro/conta-com-valores-que-nao-sao-justificados_g8XUMq1givTjTQir/,Cobrança indevida,
Produtos e serviços contratos sem meu consentimento,/claro/produtos-e-servicos-contratos-sem-meu-consentimento_16RxU1xzyhpStE4c/,Cobrança indevida,"Boa Tarde, Tive que efetuar uma trocar de numero da operadora por problema em uma app de mensagens. Me dirigi em uma loja da operadora no shopping interlagos, no qual fui informado que para a trocar teria que pagar um multa porque no numero anterior ainda estava com fidelidade, não concordava muito mas solicitei a troca mesmo sabendo dessa multa. Para minha surpresa a claro fez uma contratação de um SERVIÇO STREAMING no valor de 69,90 onde não fui devidamente explicado desse combo o que o atende me explicou que tinha uma promoção e me passou o valor da linha de telefone controle,  ligando para claro para resolver esse problema a atendente me informou que teria que pagar outra multa para efetuar o cancelamento de um produto que não contratei ou fui enganado na loja, porque voce já vai para obter uma linha controle e colocam juntamente um outro serviço que nem utilizo da claro fica aqui minha indignação com a claro e seus atendentes que engando os clientes. segue o numero do ultimo protocolo de atendimento:*******3890"
Cobrança indevida,/claro/cobranca-indevida_HB2J3f8wOlq_v8h0/,Cobrança indevida,"Está sendo cobrado na minha fatura um valor que não reconheço - itens adicionais Outro Serviços Telecom R$ 4,99 - não sei do que se trata, muito menos contratei algo que desconheço. Quero que seja retirado imediatamente a cobrança desse valor nas minhas faturas."
Conta está paga e bloquearam meu telefone,/claro/conta-esta-paga-e-bloquearam-meu-telefone_JLQItsKfZ2SHKmUd/,Cobrança indevida,"A minha empresa tem um plano na operadora claro no qual o vencimento acontece todo dia 17, o mês passado paguei a conta 19/09 pela conta da empresa na banco do Brasil no valor de $50,20 mais do dia 25/09 pra cá a claro tem me ligado sem parar alegando que fatura está em aberta eu até procurei a loja da claro aqui em Goiânia na avenida 24 de outubro a atendente me segurou lá por 20 minutos me devolveu os papéis que levei e disse que estava resolvido mais hoje dia 10/10 após o almoço eles acabaram cortando minha linha telefônica é como eu trabalho com vendas me prejudica muito no atendimento aos meus clientes daí preciso de uma solução rápida sobre o meu caso."
Estão cobrando uma multa sendo que eu não fiz cancelamento,/claro/estao-cobrando-uma-multa-sendo-que-eu-nao-fiz-cancelamento_g4le1XGaBwMGHn4T/,Cobrança indevida,Fiz uma troca de plano e estão me cobrando uma multa Já tentei entrar em contato e alegam que eu alterei meu plano por isso da multa Só que para ter multa não pode cancelar Suspenderam meu numero mesmo todas as fatura pagas meu numero ******* esse número Não vou pagar por erro da empresa
Cobrança indevida,/claro/cobranca-indevida_i6KBycj5LvTIyOKk/,Cobrança indevida,"Fiz a troca de plano na Claro. Tinha um plano Claro pós e mudei para Claro flex. Como não tinha multa devido ao tempo superior a um ano no plano não há multa, porém hoje tenho que pagar um total de 107,78 ao invés do valor proporcional de uso no plano durante o período. Gostaria que a empresa revesse a cobrança [Editado pelo Reclame Aqui]. Obs, é impossível falar com um atendente para resolver. Protocolo*******598 de 10/09/23"
Protocolo de atendimento inexistente,/claro/protocolo-de-atendimento-inexistente_O0BHm7qEA4eivaF5/,Cobrança indevida,"Na data de 03/10/2023 entrei em contato com a claro referente a uma cobrança a maior no  valor de R$ 64,68 referente a serviços moveis. Essa cobrança diz referir-se a ligações e serviços no exterior. Sendo que pagamos o pacote mundo no valor de R$ 29,99 que cobre isso. Em 03/10 entrei em contato e recebi da claro 3 numeros de protocolo*******808 /*******261 /*******080, e hoje 10/10/2023 depois de aguardar 7 dias e não obter nenhuma resposta, entrei em contato com a claro e o atendente (Sabrino, muito mal educado por sinal) informou que os protocolos não existem, e que não há nenhuma reclamação efetuada sobre esta cobrança. E queria que eu abrisse novo protocolo nesta data, o que recusei. Afinal a conta venceu neste período e me recuso a pagar qualquer tipo de juros.Como confiar em um serviço que lhe envia via SMS 3 números de protocolos que simplesmente não existem?Solicito o acerto ao valor correto da minha conta, bem como a retirada de qualquer multa e juros que possa vir ser cobrada."
Golpe da Claro,/claro/da-claro_QixuTxMzojJQfn8l/,Cobrança indevida,"Há cerca de 4 meses, fui a uma loja física da Claro em minha cidade com intenção de transferir o endereço de meu pacote ""COMBO"". SOLICITEI TRANFERIR ENDEREÇO E O QUE FIZERAM FOI CRIAR OUTRO ENDEREÇO, portanto, sem perceber, criaram outra conta para mim e até o momento estou sem solução definitiva. Cortaram meus serviços e mudaram meu plano. Um inferno na vida agora"
COBRANÇA INDEVIDA NA FATURA,/claro/cobranca-indevida-na-fatura_TfK1RImNQrGaz_Uu/,Cobrança indevida,"Tenho plano de internet, TV e telefonia com a Claro, e minha fatura vem sempre a mesma média de valor, variando com uma diferença de 20,00/30,00, mas nestye mês veio uma difrerença de 100,00 a mais no valor por compras realizadas na claroTV que eu nao reconheço, liguei para contestar e pedir ajuda e apenas me enrolaram dizendo que eu nao poderia contestar, e que deveria pagar mesmo nao reconhecendo as compras, enviei um email pedindo respostas e até agora nada!!!! Espero uma resposta!!"
Migração de plano de dados não autorizada,/claro/migracao-de-plano-de-dados-nao-autorizada_fsTHf7c9ihQ0tdy2/,Cobrança indevida,"No dia 10/10/23 recebi um e-mail da operadora informando a migração do meu pacote de dados para um plano com mais internet e consequentemente aumento no valor da fatura.Entrei em contato com a empresa no mesmo dia solicitando cancelamento da migração e retorno ao plano anterior, porém sem sucesso. A claro informou que não pode resolver.Meu problema não foi resolvido"
COBRANÇA INDEVIDA,/claro/cobranca-indevida_ntSvnAgHo-UkHGM1/,Cobrança indevida,"No dia 02/10/23 solicitei a portabilidade da operadora Claro para Vivo, recebi a ligação da retenção oferecendo descontos e afins, mas permaneci com o pedido de portabilidade.Hoje dia 10/10 foi novamente cobrado o valor de 59,90 do plano.Peço imediatamente o reembolso do valor."
Cobrança indevida e Negativação no Serasa,/claro/cobranca-indevida-e-negativacao-no-serasa_KpXaV4lXXqhrGcet/,Cobrança indevida,"Desde o dia 06/10/2023 entrei em contato com a Claro questionando por quê  eles incluíram meu nome no Serasa por conta de uma fatura do mês de julho a qual estava paga ( pago todo mês antes da data do vencimento e no app e site constava tudo em dia). Mandei os comprovantes do pagamento ( do mês de julho e agosto também), mas ainda não retiraram meu nome do Serasa. Foi exatamente o mês que mudei de plano, portanto, fizeram essa confusão e sai prejudicada, isso é um absurdo uma falta de respeito e irresponsabilidade. Exijo a retirada do meu nome junto ao Serasa."
Cobrança em duplicidade,/claro/cobranca-em-duplicidade_TAGI1BJ1rVrQjmUP/,Cobrança indevida,"Tenho uma conta de telefone pré pago com a Claro e foi cobrada em duplicidade a fatura referente ao mês de setembro/23, com vencimento em 10/10, pois alterei meu cartão de crédito. Assim, efetuei o pagamento da fatura em 07/10 (conforme anexo) e hoje (10/10) cobraram novamente no cartão. Aguardo retorno para solucionar o problema."
Venda enganosa,/claro/venda-enganosa_5ve9S_B289bS5aAV/,Cobrança indevida,"Ja entrei em contato 5 vezes e o problema nao foi resolvido.Protocolos:*******2973,*******4367, 652802106.Na hora de vender o produto é tudo maravilha, mas na pratica é diferente. Assinei o combo multi: CELULAR,TV,INTERNET.no valor de 187 reais para debito automático ,mas recebi uma fatura impressa à parte do celular no valor de 64.90( o valor no combo seria  34.90) e uma debito automatico de aprox 153 reais.. somando a fatura e o debito automático o valor fica acima do que contratei e   formas de pagamento distinta. Apos reclamacao recebi uma fatura de 149 reais para pagamento ""manual"", me mandaram ignorar o debito automatico e para minha surpresa foi debitada da minha conta o valor superior ao do q me mandaram e por fim ainda consta que a fatura do celular esta em aberto. Gostariam que resolva isso. Pois eu contratei o COMBO 3 em 1 com debito em conta no valor de 187 reais( sem nenhuma surpresa "" palavras da atendente""), nao contratei celular a parte e muito menos pelo preco de 64.90. Se o ocorrido nao for resolvido vou ao PROCON e farei tambem um B.O. pois debitaram algo na minha conta ( coisa que disseram que nao ia acontecer)e ainda tem fatura em aberto( de um produto que nao comprei separadamente). Correndo o risco de sujar meu nome.No aguardo."
Cobrança indevida,/claro/cobranca-indevida_M6ZhBNAfJIkK9fxx/,Cobrança indevida,Fiz a troca do meu plano  e o vendedor informou que eu iria pagar um valor e agora estou recebendo as contas com valores bem mais alto do que foi prometido já paguei uma no mês passado por ser o pagamento no débito automático não tive como não pagar porém logo após constatar o erro fui a uma loja física reclamar e a atendente mandou que eu fosse na loja onde foi feita a troca do plano para ver com o vendedor responsável pela troca para ver o motivo do erro fui na loja e conversei com o vendedor e o mesmo falou que eu estava certo e que iria levar o problema ao seu chefe para que ele tomasse as medidas cabíveis para acertar porém pelo jeito nada foi feito pois este mês recebi um imail com a minha conta e continua sendo cobrado o mesmo valor anterior fiz contato com a claro por imail através do site minha claro  apresentando a minha queixa e me mandaram resposta dizendo que a minha reclamação havia sido aceita e que iria ser dado o desconto solicitado  a princípio me mandaram por imail duas contas com valores diferentes dizendo  ser uma do tel fixo e outra do móvel  até então num valor que juntando as duas estarei um preço compatível ao que foi prometido só que estou reclamando porque hoje recebi outro imail com uma conta com o valor da cobrança das  linhas residência e móvel juntas com o mesmo valor  cobrado antes da reclamação com vencimento no dia 20/10/2023 para ser paga no débito automático porém estou fazendo está reclamação hoje para informar que se a empresa não conseguir resolver o meu problema até a data do vencimento e está conta for debitada estarei acionando a empresa na vara civil informando que já tentei tirar a conta do débito automático porém a empresa ameaça que ser do feito a retirada estarei perdendo benefício que o meu plano me oferece aguardo uma solução por parte da empresa Att:salustiano
"Cobrança indevida e suspensão da linha, por erro reconhecido pela própria operadora Claro",/claro/cobranca-indevida-e-suspensao-da-linha-por-erro-reconhecido-pela-propria-o_W9qpF47MWkbH2D8W/,Cobrança indevida,"Sou cliente da Claro antes da fusão com a NET, ou seja há mais de 10 anos, aderi ao combo multi, logo da criação dos pacotes e de maneira geral, sou cliente satisfeito com os serviços ao longo desses anos. Mas precisei cancelar a TV e Banda larga em março de 2023, pois a operadora não possui cabeamento na região para o qual me mudei na ocasião. Mantive o plano Pós Pago do celular, do plano 16GB do combo multi para o 25GB+25GB com praticamente o mesmo valor (cerca de R$109,00), garantido pela atendente via telefone. Continuei pagando as faturas em dia, pois estão em débito automático e em 08 de agosto de 2023,o sinal de internet parou de funcionar. Dia 10/08 liguei no atendimento e me informaram que fariam uma atualização do sistema e pra isso precisaria desligar o celular por meia hora e só então religar. Não tratei de alteração de plano e nem de pacote e depois desse tempo, a internet voltou a funcionar. Em setembro, recebi notificação de uma fatura de R$355,35 com vencimento em 20/09 e liguei em 11/09 no atendimento, que abriu contestação, e afirmou que era uma cobrança [Editado pelo Reclame Aqui], mas que me mandariam nova fatura. Recebi em 12/09 uma fatura de R$73,21 que foi paga via debito automático e fiquei tranquilo , mas continuei recebendo aviso da fatura atrasada no valor de 355,35. Liguei novamente em 28/09 e  mais uma vez  o atendente abriu contestação, pois reconheceu que havia cobrança [Editado pelo Reclame Aqui] e me informou que me ligariam ou mandariam fatura corrigida. Na data de hoje, 08/10 minha internet e sinal do celular pararam e verifiquei que tem fatura de outubro no aplicativo de R$218,65 com vencimento em 19/10, ou seja valor de R$574,00. Fui até a loja da Claro e novamente a atendente disse que houveram erros nos atendimentos e abriu nova contestação, mas não podia restabelecer o sinal, pois não tinha ferramentas disponíveis e devo esperar de 3 a 5 dias retorno telefônico . Resumo : cliente com faturas pagas no plano 25GB + 25GB , desde Abril, mas agora sem o serviço da operadora, que reconheceu os erros e continua fazendo cobrança [Editado pelo Reclame Aqui]. Qual o caminho a seguir Procon e judicialização?"
Recarga Programada indevida,/claro/recarga-programada-indevida_l-amgz5XD25IUSNJ/,Cobrança indevida,"Não consigo cancelar a recarga programada da Claro, Pelo segundo mês consecutivo a foi feita uma recarga programada sem autorização. Fiz a migração para o plano Controle, as faturas chegam e a recarga é feita mesmo assim. Já tentei cancelar várias vezes. Tenho protocolos de vários atendimentos. Nenhuma funcionou. Alguns atendentes dizem que não têm acesso para cancelar. Uma atendente chegou a dizer que fez o procedimento e que o valor tarifado seria abatido da próxima fatura. Isso não aconteceu. Tenho uma fatura em aberto e a Claro fazendo recargas [Editado pelo Reclame Aqui]."
Golpe do pix com desconto na fatura claro controle,/claro/do-pix-com-desconto-na-fatura-claro-controle_49dMQRvK-NNWWAZb/,Cobrança indevida,"Recebi um whatsapp perfeito para pagar minha fatura em aberto com desconto no pix, efetuei o pagamento e continuei recebendo ligações e mensagens que estou com a fatura em aberto, isso me chamou a atenção, a empresa que recebeu tinha uma chave pix cadastrada em nome da Claro. CNPJ: 51.941.390/0001-35 CLARO MULTI SERVICOS LTDA banco ASAAS IP S.A. parecia muito perfeito mas fui pesquisar e percebi que a empresa abriu a pouco mais de 1 mês. tentei contato telefônico com a Claro, enviei o comprovante do PIX para diversos whatsapp e nenhuma resposta, solicito retratação e aumento da segurança para seus clientes."
Duas cobranças de plano de celular para a mesma linha.,/claro/duas-cobrancas-de-plano-de-celular-para-a-mesma-linha_BMfeFdcll3uwFp1h/,Cobrança indevida,"Já foi aberto um protocolo ouvidoria  nr. 65935850.Em setembro solicitei o cancelamento do meu plano de internet. Durante este processo, onde meu plano de celular foi alterado inclusive com a redução do valor que eu pago e informaram que eu receberia em outubro uma fatura com o valor sendo composto pelo pagamento do plano de celular e um valor proporcional do serviço de internet.Fatura realmente foi emitida, no valor de R$150,57, sendo R$133,59 do celular e R$ 16,98 do proporcional da internet.Ocorre que hoje, recebi um aviso no whatsapp da Claro informando que minha fatura estava fechada e disponível para pagamento no valor de R$106,12. Resumindo, os sistemas da Claro de internet e celular não se comunicam e me emitiram duas faturas cobrando plano de celular para apenas uma linha/número.Resolvam isso imediatamente. As duas faturas seguem em anexo."
Cancelamento Celular MÓVEL,/claro/cancelamento-celular-movel_epWF33niJrIH__vO/,Cobrança indevida,"A CLARO BRASIL, Eu Com As Contas Todas Pagam do Celular MÓVEL, Não Envia o Boleto de Pagamento e Cancelaram Meu Plano MÓVEL Estando Tudo Em Dias Já Liguei Para Anatel e Nada Ainda diz Que é Uma Empresa Idônea, Eu Ligo Para Ouvidoria, Para 1052, 0800 280-2828, 3003-2828 Isso é Um Absurdo"
Cobrança indevida,/claro/cobranca-indevida_cisKOX6cKyS8f02T/,Cobrança indevida,"Tinha um plano residencial com pacote de internet residencial e móvel para 4 linhas, solicitei o cancelamento do plano para as linhas móveis no dia 25/09/23, alterando os números para linhas pré-pagas e pedi pra continuar apenas com a internet residencial.  A atendente me falou que havia cancelado e que o valor cobrado na minha fatura seria feito de forma proporcional. Ao tentar colocar crédito em uma das linhas, descobri que a mesma não estava aceitando pois não havia sido cancelada e continuava como pós paga. Entrei em contato com a loja da CLARO já foram abertos outros 2 protocolos para resolver o problema e nada foi resolvido ainda. Hoje descobri que a minha fatura com vencimento em 20/10/23 está com o valor total, ou seja ainda estão sendo cobrados os valores das linhas, o qual solicitei o cancelamento desde 25/09/2023. Já liguei pra CLARO, tentei contato via telefone, whatsapp, chat, porém sem sucesso."
"PIOR REDE TELEFONICA QUE EXISTE, PESSIMO ATENDIMENTO E RESPEITO COM O CONSUMIDOR",/claro/pior-rede-telefonica-que-existe-pessimo-atendimento-e-respeito-com-o-consu_w6KUuaBmtwgo-GEh/,Cobrança indevida,"Prezados, no dia 07/07/2023  recebi uma ligação da claro sobre meu debito, eu contei a minha situação e a pessoa da ligação me fez um baita desconto pra quitar, eu pedi o boleto  disse que queria cancelar o plano, ela disse que o cancelamento só depois que eu pagasse a divida, e eles me mandaram o boleto de quitação, quitei, esperei uns 5 dias e liguei de novo pra cancelar, contei novamente a minha situação, e eles me ofereceram um plano bem mais em conta, de apenas 19,90 por mês para eu não perder a minha linha que era antiga, e eu aceitei. porem desde esse dia que dei aceite desse novo plano, meu cll não pegou mais rede,e agora veio a informação que estou com o MESMO DEBITO QUE EU QUITEI no SERASA, ai hoje eu liguei novamente pra claro, e a atendente me mandou eu passar o comprovante no email, mandei, porem eles dizem que o debito foi dado baixa porem meu nome está no SERASA com uma divida de 480 reais, de onde eu não sei. eu ligo e eles nunca me respondem -"
Fatura claro móvel,/claro/fatura-claro-movel_YSMYq8D9HO0KmfbQ/,Cobrança indevida,"Boa noite, fiz a troca de plano para 69.90, e estou me enviando faturas com valores de 85.00, sendo q já fiz reclamações do mesmo na própria operadora me falam que vai resolver e hoje estou me cobrando a fatura com valor de 85.00 e dizendo que tem uma em atraso se mesmo com valor superior ao meu plano para não ficar sem linha fiz o pagamento do mesmo. "
Redução do valor do plano,/claro/reducao-do-valor-do-plano_ymj2ehzOnqnBW010/,Cobrança indevida,"Estou com o seguinte problema, dia 28/07/2023 liguei duas vezes para a claro solicitando a redução do valor do plano (Protocolos:*******32 e*******28), combinei com o atendente de reduzir o valor do plano para 44 reais, e o mesmo me disse que como ja estávamos no final do mês, viria a fatura com o valor normal no mês de setembro com o vencimento 20/09. Em setembro ao ver a fatura, vi que o valor estava incorreto, no valor de 81,83 e no dia 22/09 entrei em contato querendo explicações sobre o valor da fatura já que o combinado era setembro já vir com as correções.O atendente (Protocolo:*******266) me garantiu que o desconto viria no mês seguinte (outubro).Esperei até chegar a fatura do mes de outubro e como era de se esperar, o desconto nao foi aplicado, foi me cobrado o valor de 58 reais e ao ligar hoje (09/10/23) o atendente garantiu que o desconto só fora aplicado para o mes de novembro, ou seja, estao me enrolando, sem contar em falar da dificuldade que é para conseguir falar com um atendente.Tentei contato diversas vezes com a claro, por ligações e por chat no próprio aplicativo. Dentro das 5 vezes, 4 desligaram na minha cara."
Descumprimento de acordo judicial e impossibilidade de contato com a ouvidoria,/claro/descumprimento-de-acordo-judicial-e-impossibilidade-de-contato-com-a-ouvido_Y3HP2NtpGCA5JNYf/,Cobrança indevida,"Movi uma ação judicial contra a Claro devido à cobranças [Editado pelo Reclame Aqui]. Ganhei a ação e o acordo, além do ressarcimento, estabelecia um valor fixo por tempo ilimitado de no máximo 300,00 mensais e sem reajustes, salvo o anual validado pela Anael, sob pena de multa substitutiva de 10% do valor do acordo. Recentemente recebi a notificação de aumento anual do meu plano para o valor de R$445,00. Só que no corrente ano já foram feitos dois reajustes alem  deste, quebrando portanto, a cláusula do contrato. Seguindo orientação do advogado, tentei fazer primeiro um contato com a empresa para revisão destes valores Tentei  contato com a ouvidoria, após seguir o trâmite da empresa, que é o de fazer um primeiro contato com o SAC, pegar o número do protocolo que seria usado para dar continuidade ao contato com a ouvidoria. Pois bem, fiz três tentativas e o atendente virtual simplesmente não reconhece o número do protocolo adquirido e não dá prosseguimento ao atendimento. Ou seja, devo partir direto para outra ação judicial. Plinio Guimarães Contrato: 228/120835328"
A claro roubou meu dinheiro,/claro/a-claro-meu-dinheiro_3ouMwMtWufQQvd6V/,Cobrança indevida,"Eu fiz uma recarga de 15 reais e a linha estava suspensa. É de senso comum que quando a linha está suspensa e você faz uma recarga ela se reativa (eu pesquisei no faq antes de vir aqui também)Eu vim na loja da claro no shopping da minha cidade e o atendente gerou um boleto de quase 50 reais e me disse pra pagar. Disse que minha linha só iria se reativar quando eu pagasse e que eu deveria aceitar que meu dinheiro da recarga está perdido. Eu pedi pra ele escrever pra comprovar que ele disse isso e que eu vim até aqui, ele se recusou e agora estou fazendo essa reclamação mesmo sabendo que a empresa é tão horrível que sequer responde as reclamações dos clientes.Eu só queria meu número de volta pra poder receber ligações das minhas entrevistas de emprego.."
Aumento de preço,/claro/aumento-de-preco_kM-40v_e-noJN-EF/,Cobrança indevida,"Sem dúvida a pior empresa de telecomunicações,aumentou o preço do meu plano sem minha autorização, e o pior é que não se consegue falar com nenhum representante, o que parece ser bem conveniente a eles, sem contar o incômodo de ficar mandando mensagens de ofertas fazendo com que o aparelho celular fique ligado enquanto a mensagem não for vizualizada, consumindo a bateria do aparelho."
Venda Casada,/claro/venda-casada__pmLQO8rysnhLrDj/,Cobrança indevida,"Realizei a portabilidade em 01/08/2023 e a foi ativo um plano controle na minha linha. Possui duas faturas em aberto e a linha suspensa. Em contato com o atendimento em 07/10 o representante informou que necessariamente para fazer a portabilidade tinha que ativar o plano, confirmando que a operadora realizou uma venda casada (o que não pode) . Solicitei o protocolo e ele me transferiu para o setor de cancelamento. O representante e sua supervisora se recusaram a cancelar o plano informando que eu não estava falando da mesma linha, sendo que eu sou o titular e confirmei os dados. Quero o cancelamento do plano e isenção das faturas por essa prática abusiva, pelo mal atendimento e constrangimento.Protocolo*******452"
Fatura abusiva.,/claro/fatura-abusiva_Cb2Iqq6cIBKpBErX/,Cobrança indevida,"Contratei um plano da claro de $54,00 reais , deram mais um desconto de fidelidade abaixo desse valor.  Porem ao acabar os 12 meses ao invés de voltar para $54,00 estao cobrando $75,00 . Duas faturas atrasadas $150,00 , eu quero falar avista no valor antigo nao acho suporte e nem consigo falar com a ouvidoria,  por estar com o telefone cortado. E ficam ligando 24hs cobrando.Numero do protocolo: 01/10/23 as 22:40 e o numero do seu protocolo eh*******064."
A Claro fez Plano de Celular sem minha autorização,/claro/a-claro-fez-plano-de-celular-sem-minha-autorizacao_K0dfXuSm50gCWUva/,Cobrança indevida,"Recebi no meu e-mail uma fatura para pagar dia 20 de setembro com Plano de Celular não autorizado porque me arrependi de sair do plano antigo e o chip da Claro que recebi pelo correio está guardado nem usei,quero cancelar esse plano.O Código de Defesa do Consumidor orienta sobre cancelamento e na fatura diz que fiz o plano dia 7 de setembro e hoje é dia 9 e gostaria que a operadora prove se fiz a ativação desse plano."
